locationName,locationCode,latitud,longitud
ACUEDUCTO,ACD,25.62334643247916,-100.17280279354073
APODACA,APD,25.73308645525553,-100.19033400429453
CENTRO DE DISTRIBUCION,OFC,,
CENTRO DE DISTRIBUCION A TIEND,CDT,,
GARCIA,GIA,25.804316488904423,-100.565495236646
GUADALUPE 106,106,25.66617287148751,-100.26637567766002
GUADALUPE 193,193,25.666580441586376,-100.26450762749047
LAREDO,LDO,27.483704972748054,-99.53949698250493
LOS ANGELES,LAS,25.768801880618486,-100.23058839934255
REYNOSA LAS  FLORES,RY2,25.991990140719796,-98.27627665153896
REYNOSA LIBRAMIENTO,REY,26.045429819750364,-98.31037567959459
RUIZ CORTINES,RCS,25.736979250206137,-100.37998055468898
SABINAS,SAB,26.499764582515933,-100.17126439954464
SALTILLO,SLT,25.353680950606066,-101.02150031409508
SAN PEDRO,SNP,25.68392902022537,-100.4109247603149
SAN ROQUE,ROQ,25.627239981823546,-100.1557548172056
SANTA CATARINA,STA,25.68827287263781,-100.463495851922
SANTIAGO,SAN,25.441880668334406,-100.15593903128611
